timestamp,gyro_x,gyro_y,gyro_z
1755663691.341044,-0.128,-0.992,-0.029
1755663691.98256,-0.128,-0.993,-0.029
1755663692.1201851,-0.127,-0.99,-0.029
1755663692.249658,-0.124,-0.992,-0.032
1755663692.377728,-0.204,-0.926,0.116
1755663692.503314,-0.116,-1.283,0.104
1755663692.8300958,-0.674,-0.284,-0.216
1755663693.343373,0.801,-1.174,1.077
1755663693.856954,0.875,-1.733,-1.31
1755663694.3712482,1.865,-1.964,0.246
1755663694.8845189,1.464,-0.586,-0.183
1755663695.399244,1.388,0.02,0.764
1755663695.914725,0.303,0.191,0.045
1755663696.4270358,0.113,-0.205,-1.092
1755663696.942067,0.128,0.907,0.906
1755663697.4566,0.858,-1.791,0.484
1755663697.97025,0.827,-0.436,-0.931
1755663698.483938,-0.785,-0.283,0.644
1755663698.997616,-0.892,-0.275,0.412
1755663699.512267,-0.085,-0.159,0.142
1755663700.0263429,-0.745,-0.06,0.107
1755663700.540766,0.269,-0.563,0.942
1755663701.054538,0.864,-0.053,0.937
1755663701.5684,0.989,-0.205,0.391
1755663702.0830998,0.505,-0.598,0.749
1755663702.596868,-0.364,-0.468,0.556
1755663703.110998,-0.401,-0.583,0.684
1755663703.626007,-0.011,-0.756,0.715
1755663704.139717,0.537,-0.564,0.929
1755663704.655031,0.074,-0.622,1.071
1755663705.16914,-0.621,-0.35,0.402
1755663705.6849868,-0.495,-0.539,0.697
1755663706.1993668,-0.058,-0.652,0.759
1755663706.7144132,0.36,-0.497,0.762
1755663707.229381,0.546,-0.624,0.889
1755663707.74431,-0.145,-0.623,0.814
1755663708.260221,-0.596,-0.676,0.425
1755663708.775243,-0.734,-0.596,0.274
1755663709.289759,-0.666,-0.664,0.441
1755663709.804008,-0.57,-0.623,0.523
1755663710.318995,-0.471,-0.633,0.619
1755663710.833798,-0.324,-0.623,0.75
1755663711.349133,-0.084,-0.767,0.719
1755663711.864325,0.26,-0.688,0.758
1755663712.379609,0.435,-0.668,0.814
1755663712.893901,0.204,-0.629,0.673
1755663713.409686,0.516,-0.67,0.755
1755663713.923347,0.165,-0.888,0.665
1755663714.4390972,-0.655,-0.685,0.422
1755663714.953223,-0.85,-0.471,0.023
1755663715.468648,-0.893,-0.123,0.108
1755663715.984774,-0.788,-0.503,0.375
1755663716.498697,-0.777,-0.566,0.711
1755663717.0126998,-0.291,-0.541,0.584
1755663717.52741,0.004,-0.823,0.42
1755663718.0425742,0.391,-1.029,0.474
